frame_idx,timestamp,track_id,label,score,x1,y1,x2,y2,world_x,world_y,in_calibration_roi,calibration_segment,raw_speed_kmh,speed_source,speed_kmh
2,0.08,5,car,0.9374544024467468,271.5140380859375,218.91184997558594,339.9416198730469,243.71240234375,2.399189437024028,310.240587063039,True,far_two_lane,17.38300183398985,same_segment,17.38300183398985
2,0.08,6,car,0.9293018579483032,393.01568603515625,232.61534118652344,533.525634765625,345.8406982421875,3.0257986140836577,94.9364793412142,True,far_two_lane,381.79256972667406,filtered_outlier,0.0
2,0.08,7,car,0.8724024295806885,607.2008666992188,195.9380340576172,743.246337890625,313.0009460449219,6.179286227846397,143.66127356723615,True,far_two_lane,340.02959623365297,filtered_outlier,0.0
2,0.08,8,car,0.8449580073356628,332.88946533203125,193.8689422607422,459.827392578125,296.8401794433594,2.861626901377452,190.29595659953284,True,far_two_lane,151.30855808096211,same_segment,151.30855808096211
3,0.12,1,car,0.9949014186859131,815.9220581054688,317.5749206542969,1010.586181640625,461.2286071777344,6.659065033416094,40.406743349627185,True,mid_two_lane,177.23401908950498,same_segment,177.23401908950498
3,0.12,2,car,0.9785599112510681,428.9364013671875,284.6795349121094,594.5817260742188,397.92095947265625,3.1019989717443552,63.76740972543091,True,mid_two_lane,97.62073479171558,same_segment,97.62073479171558
3,0.12,3,car,0.9924505352973938,535.8836669921875,387.146728515625,723.15966796875,543.7760620117188,1.5334466103955464,15.564063639228424,True,near_two_lane,81.63155076601691,same_segment,81.63155076601691
3,0.12,4,car,0.9796507358551025,558.1532592773438,593.8927001953125,828.54443359375,718.9921264648438,nan,nan,False,,0.0,unavailable,0.0
3,0.12,5,car,0.9467258453369141,273.4223327636719,218.5374755859375,344.5158996582031,244.07542419433594,2.4400628419132824,309.1661786281135,True,far_two_lane,20.844040030393387,same_segment,20.844040030393387
3,0.12,6,car,0.9156287908554077,403.3591613769531,238.2135009765625,560.69482421875,341.57354736328125,3.3182920245938408,101.56951218878098,True,far_two_lane,56.437005610680224,same_segment,56.437005610680224
